,Date,Team,Win,Loss,Tie,Diff,Division,Cum_Win,Cum_Loss,Cum_Tie,Cum_Diff,Season,Standing
0,08-22-2025,A-08,4,0,0,40.0,A,4,0,0,40.0,Fall,1
1,08-22-2025,A-02,4,0,0,39.0,A,4,0,0,39.0,Fall,2
2,08-22-2025,A-01,4,0,0,26.0,A,4,0,0,26.0,Fall,3
3,08-22-2025,A-07,4,0,0,25.0,A,4,0,0,25.0,Fall,4
4,08-22-2025,A-18,4,0,0,24.0,A,4,0,0,24.0,Fall,5
5,08-22-2025,A-11,2,1,1,18.0,A,2,1,1,18.0,Fall,6
6,08-22-2025,A-15,2,1,1,1.0,A,2,1,1,1.0,Fall,7
7,08-22-2025,A-06,2,2,0,3.0,A,2,2,0,3.0,Fall,8
8,08-22-2025,A-10,2,2,0,-10.0,A,2,2,0,-10.0,Fall,9
9,08-22-2025,A-16,2,2,0,-20.0,A,2,2,0,-20.0,Fall,10
10,08-22-2025,A-09,1,3,0,-6.0,A,1,3,0,-6.0,Fall,11
11,08-22-2025,A-05,1,3,0,-11.0,A,1,3,0,-11.0,Fall,12
12,08-22-2025,A-17,1,3,0,-19.0,A,1,3,0,-19.0,Fall,13
13,08-22-2025,A-03,1,3,0,-19.0,A,1,3,0,-19.0,Fall,14
14,08-22-2025,A-14,1,3,0,-28.0,A,1,3,0,-28.0,Fall,15
15,08-22-2025,A-13,0,4,0,-16.0,A,0,4,0,-16.0,Fall,16
16,08-22-2025,A-04,0,4,0,-20.0,A,0,4,0,-20.0,Fall,17
17,08-22-2025,A-12,0,4,0,-27.0,A,0,4,0,-27.0,Fall,18
18,09-05-2025,A-08,3,1,0,7.0,A,7,1,0,47.0,Fall,1
19,09-05-2025,A-02,3,1,0,5.0,A,7,1,0,44.0,Fall,2
20,09-05-2025,A-18,3,1,0,14.0,A,7,1,0,38.0,Fall,3
21,09-05-2025,A-07,3,1,0,13.0,A,7,1,0,38.0,Fall,4
22,09-05-2025,A-01,2,2,0,-2.0,A,6,2,0,24.0,Fall,5
23,09-05-2025,A-11,2,2,0,-2.0,A,4,3,1,16.0,Fall,6
24,09-05-2025,A-15,2,2,0,0.0,A,4,3,1,1.0,Fall,7
25,09-05-2025,A-09,3,1,0,14.0,A,4,4,0,8.0,Fall,8
26,09-05-2025,A-12,4,0,0,19.0,A,4,4,0,-8.0,Fall,9
27,09-05-2025,A-10,2,2,0,-8.0,A,4,4,0,-18.0,Fall,10
28,09-05-2025,A-06,1,3,0,-11.0,A,3,5,0,-8.0,Fall,11
29,09-05-2025,A-17,2,2,0,-4.0,A,3,5,0,-23.0,Fall,12
30,09-05-2025,A-16,1,3,0,-3.0,A,3,5,0,-23.0,Fall,13
31,09-05-2025,A-05,1,3,0,-6.0,A,2,6,0,-17.0,Fall,14
32,09-05-2025,A-13,2,2,0,-2.0,A,2,6,0,-18.0,Fall,15
33,09-05-2025,A-14,1,3,0,-7.0,A,2,6,0,-35.0,Fall,16
34,09-05-2025,A-04,1,3,0,-10.0,A,1,7,0,-30.0,Fall,17
35,09-05-2025,A-03,0,4,0,-17.0,A,1,7,0,-36.0,Fall,18
36,09-12-2025,A-07,4,0,0,33.0,A,11,1,0,71.0,Fall,1
37,09-12-2025,A-18,3,1,0,11.0,A,10,2,0,49.0,Fall,2
38,09-12-2025,A-08,2,1,1,2.0,A,9,2,1,49.0,Fall,3
39,09-12-2025,A-11,4,0,0,16.0,A,8,3,1,32.0,Fall,4
40,09-12-2025,A-01,2,1,1,1.0,A,8,3,1,25.0,Fall,5
41,09-12-2025,A-02,1,3,0,-10.0,A,8,4,0,34.0,Fall,6
42,09-12-2025,A-10,3,1,0,21.0,A,7,5,0,3.0,Fall,7
43,09-12-2025,A-15,2,2,0,-11.0,A,6,5,1,-10.0,Fall,8
44,09-12-2025,A-12,2,2,0,4.0,A,6,6,0,-4.0,Fall,9
45,09-12-2025,A-17,2,2,0,14.0,A,5,7,0,-9.0,Fall,10
46,09-12-2025,A-13,2,1,1,-2.0,A,4,7,1,-20.0,Fall,11
47,09-12-2025,A-06,1,3,0,0.0,A,4,8,0,-8.0,Fall,12
48,09-12-2025,A-09,0,4,0,-20.0,A,4,8,0,-12.0,Fall,13
49,09-12-2025,A-04,3,1,0,0.0,A,4,8,0,-30.0,Fall,14
50,09-12-2025,A-16,0,3,1,-12.0,A,3,8,1,-35.0,Fall,15
51,09-12-2025,A-05,1,3,0,0.0,A,3,9,0,-17.0,Fall,16
52,09-12-2025,A-03,2,2,0,0.0,A,3,9,0,-36.0,Fall,17
53,09-12-2025,A-14,0,4,0,-47.0,A,2,10,0,-82.0,Fall,18
54,09-19-2025,A-18,3,1,0,23.0,A,13,3,0,72.0,Fall,1
55,09-19-2025,A-08,3,1,0,0.0,A,12,3,1,49.0,Fall,2
56,09-19-2025,A-01,3,1,0,3.0,A,11,4,1,28.0,Fall,3
57,09-19-2025,A-07,0,4,0,-23.0,A,11,5,0,48.0,Fall,4
58,09-19-2025,A-10,4,0,0,25.0,A,11,5,0,28.0,Fall,5
59,09-19-2025,A-02,2,1,1,4.0,A,10,5,1,38.0,Fall,6
60,09-19-2025,A-11,2,2,0,-3.0,A,10,5,1,29.0,Fall,7
61,09-19-2025,A-12,3,1,0,2.0,A,9,7,0,-2.0,Fall,8
62,09-19-2025,A-15,2,2,0,9.0,A,8,7,1,-1.0,Fall,9
63,09-19-2025,A-05,4,0,0,26.0,A,7,9,0,9.0,Fall,10
64,09-19-2025,A-17,2,2,0,4.0,A,7,9,0,-5.0,Fall,11
65,09-19-2025,A-09,2,1,1,16.0,A,6,9,1,4.0,Fall,12
66,09-19-2025,A-04,2,2,0,-5.0,A,6,10,0,-35.0,Fall,13
67,09-19-2025,A-13,1,3,0,-20.0,A,5,10,1,-40.0,Fall,14
68,09-19-2025,A-06,1,3,0,0.0,A,5,11,0,-8.0,Fall,15
69,09-19-2025,A-16,1,3,0,-11.0,A,4,11,1,-46.0,Fall,16
70,09-19-2025,A-03,0,4,0,-30.0,A,3,13,0,-66.0,Fall,17
71,09-19-2025,A-14,0,4,0,-20.0,A,2,14,0,-102.0,Fall,18
72,09-26-2025,A-18,3,1,0,8.0,A,16,4,0,80.0,Fall,1
73,09-26-2025,A-08,2,2,0,14.0,A,14,5,1,63.0,Fall,2
74,09-26-2025,A-10,3,1,0,4.0,A,14,6,0,32.0,Fall,3
75,09-26-2025,A-02,3,1,0,15.0,A,13,6,1,53.0,Fall,4
76,09-26-2025,A-11,3,1,0,24.0,A,13,6,1,53.0,Fall,5
77,09-26-2025,A-01,2,2,0,2.0,A,13,6,1,30.0,Fall,6
78,09-26-2025,A-15,4,0,0,18.0,A,12,7,1,17.0,Fall,7
79,09-26-2025,A-07,0,4,0,-20.0,A,11,9,0,28.0,Fall,8
80,09-26-2025,A-12,2,2,0,7.0,A,11,9,0,5.0,Fall,9
81,09-26-2025,A-05,2,2,0,0.0,A,9,11,0,9.0,Fall,10
82,09-26-2025,A-16,4,0,0,40.0,A,8,11,1,-6.0,Fall,11
83,09-26-2025,A-09,2,2,0,-13.0,A,8,11,1,-9.0,Fall,12
84,09-26-2025,A-17,1,3,0,-22.0,A,8,12,0,-27.0,Fall,13
85,09-26-2025,A-13,2,2,0,4.0,A,7,12,1,-36.0,Fall,14
86,09-26-2025,A-04,1,3,0,-24.0,A,7,13,0,-59.0,Fall,15
87,09-26-2025,A-06,1,3,0,-18.0,A,6,14,0,-26.0,Fall,16
88,09-26-2025,A-03,1,3,0,-12.0,A,4,16,0,-78.0,Fall,17
89,09-26-2025,A-14,0,4,0,-27.0,A,2,18,0,-129.0,Fall,18
90,10-10-2025,A-18,4,0,0,30.0,A,20,4,0,110.0,Fall,1
91,10-10-2025,A-02,4,0,0,32.0,A,17,6,1,85.0,Fall,2
92,10-10-2025,A-01,4,0,0,31.0,A,17,6,1,61.0,Fall,3
93,10-10-2025,A-10,2,2,0,1.0,A,16,8,0,33.0,Fall,4
94,10-10-2025,A-08,1,3,0,3.0,A,15,8,1,66.0,Fall,5
95,10-10-2025,A-11,2,2,0,1.0,A,15,8,1,54.0,Fall,6
96,10-10-2025,A-15,3,1,0,21.0,A,15,8,1,38.0,Fall,7
97,10-10-2025,A-07,2,2,0,-4.0,A,13,11,0,24.0,Fall,8
98,10-10-2025,A-12,2,2,0,3.0,A,13,11,0,8.0,Fall,9
99,10-10-2025,A-16,3,1,0,23.0,A,11,12,1,17.0,Fall,10
100,10-10-2025,A-09,2,2,0,13.0,A,10,13,1,4.0,Fall,11
101,10-10-2025,A-13,2,2,0,1.0,A,9,14,1,-35.0,Fall,12
102,10-10-2025,A-05,0,4,0,-44.0,A,9,15,0,-35.0,Fall,13
103,10-10-2025,A-17,1,3,0,-23.0,A,9,15,0,-50.0,Fall,14
104,10-10-2025,A-06,2,2,0,0.0,A,8,16,0,-26.0,Fall,15
105,10-10-2025,A-04,1,3,0,-22.0,A,8,16,0,-81.0,Fall,16
106,10-10-2025,A-03,1,3,0,-35.0,A,5,19,0,-113.0,Fall,17
107,10-10-2025,A-14,0,4,0,-31.0,A,2,22,0,-160.0,Fall,18
108,10-17-2025,A-18,3,1,0,39.0,A,23,5,0,149.0,Fall,1
109,10-17-2025,A-01,2,1,1,14.0,A,19,7,2,75.0,Fall,2
110,10-17-2025,A-10,3,1,0,21.0,A,19,9,0,54.0,Fall,3
111,10-17-2025,A-08,3,0,1,26.0,A,18,8,2,92.0,Fall,4
112,10-17-2025,A-11,3,1,0,3.0,A,18,9,1,57.0,Fall,5
113,10-17-2025,A-02,1,3,0,-33.0,A,18,9,1,52.0,Fall,6
114,10-17-2025,A-15,1,3,0,-4.0,A,16,11,1,34.0,Fall,7
115,10-17-2025,A-12,3,1,0,3.0,A,16,12,0,11.0,Fall,8
116,10-17-2025,A-16,4,0,0,18.0,A,15,12,1,35.0,Fall,9
117,10-17-2025,A-07,2,2,0,5.0,A,15,13,0,29.0,Fall,10
118,10-17-2025,A-09,2,2,0,-4.0,A,12,15,1,0.0,Fall,11
119,10-17-2025,A-13,3,1,0,17.0,A,12,15,1,-18.0,Fall,12
120,10-17-2025,A-06,3,1,0,8.0,A,11,17,0,-18.0,Fall,13
121,10-17-2025,A-04,2,2,0,-6.0,A,10,18,0,-87.0,Fall,14
122,10-17-2025,A-05,0,4,0,-23.0,A,9,19,0,-58.0,Fall,15
123,10-17-2025,A-17,0,4,0,-40.0,A,9,19,0,-90.0,Fall,16
124,10-17-2025,A-03,0,4,0,-24.0,A,5,23,0,-137.0,Fall,17
125,10-17-2025,A-14,0,4,0,-20.0,A,2,26,0,-180.0,Fall,18
126,10-24-2025,A-18,4,0,0,33.0,A,27,5,0,182.0,Fall,1
127,10-24-2025,A-01,4,0,0,17.0,A,23,7,2,92.0,Fall,2
128,10-24-2025,A-02,3,1,0,17.0,A,21,10,1,69.0,Fall,3
129,10-24-2025,A-11,3,1,0,4.0,A,21,10,1,61.0,Fall,4
130,10-24-2025,A-10,2,2,0,0.0,A,21,11,0,54.0,Fall,5
131,10-24-2025,A-08,1,2,1,-4.0,A,19,10,3,88.0,Fall,6
132,10-24-2025,A-15,3,1,0,21.0,A,19,12,1,55.0,Fall,7
133,10-24-2025,A-12,2,2,0,0.0,A,18,14,0,11.0,Fall,8
134,10-24-2025,A-16,1,2,1,-4.0,A,16,14,2,31.0,Fall,9
135,10-24-2025,A-07,1,2,1,0.0,A,16,15,1,29.0,Fall,10
136,10-24-2025,A-13,2,1,1,4.0,A,14,16,2,-14.0,Fall,11
137,10-24-2025,A-09,0,4,0,-27.0,A,12,19,1,-27.0,Fall,12
138,10-24-2025,A-06,1,3,0,-11.0,A,12,20,0,-29.0,Fall,13
139,10-24-2025,A-05,3,1,0,11.0,A,12,20,0,-47.0,Fall,14
140,10-24-2025,A-17,2,2,0,-6.0,A,11,21,0,-96.0,Fall,15
141,10-24-2025,A-04,0,4,0,-17.0,A,10,22,0,-104.0,Fall,16
142,10-24-2025,A-03,0,4,0,-32.0,A,5,27,0,-169.0,Fall,17
143,10-24-2025,A-14,2,2,0,-6.0,A,4,28,0,-186.0,Fall,18
144,11-07-2025,A-18,2,2,0,10.0,A,29,7,0,192.0,Fall,1
145,11-07-2025,A-02,4,0,0,32.0,A,25,10,1,101.0,Fall,2
146,11-07-2025,A-11,4,0,0,25.0,A,25,10,1,86.0,Fall,3
147,11-07-2025,A-08,4,0,0,47.0,A,23,10,3,135.0,Fall,4
148,11-07-2025,A-01,0,4,0,-38.0,A,23,11,2,54.0,Fall,5
149,11-07-2025,A-10,1,3,0,-12.0,A,22,14,0,42.0,Fall,6
150,11-07-2025,A-15,2,2,0,-2.0,A,21,14,1,53.0,Fall,7
151,11-07-2025,A-16,4,0,0,25.0,A,20,14,2,56.0,Fall,8
152,11-07-2025,A-12,2,2,0,-1.0,A,20,16,0,10.0,Fall,9
153,11-07-2025,A-07,2,2,0,6.0,A,18,17,1,35.0,Fall,10
154,11-07-2025,A-13,2,2,0,-4.0,A,16,18,2,-18.0,Fall,11
155,11-07-2025,A-05,4,0,0,30.0,A,16,20,0,-17.0,Fall,12
156,11-07-2025,A-09,1,3,0,-35.0,A,13,22,1,-62.0,Fall,13
157,11-07-2025,A-17,2,2,0,-8.0,A,13,23,0,-104.0,Fall,14
158,11-07-2025,A-06,0,4,0,-29.0,A,12,24,0,-58.0,Fall,15
159,11-07-2025,A-04,0,4,0,-21.0,A,10,26,0,-125.0,Fall,16
160,11-07-2025,A-03,2,2,0,28.0,A,7,29,0,-141.0,Fall,17
161,11-07-2025,A-14,0,4,0,-53.0,A,4,32,0,-239.0,Fall,18
162,11-14-2025,A-18,2,2,0,8.0,A,31,9,0,200.0,Fall,1
163,11-14-2025,A-11,4,0,0,28.0,A,29,10,1,114.0,Fall,2
164,11-14-2025,A-08,3,1,0,6.0,A,26,11,3,141.0,Fall,3
165,11-14-2025,A-01,3,1,0,10.0,A,26,12,2,64.0,Fall,4
166,11-14-2025,A-02,0,4,0,-66.0,A,25,14,1,35.0,Fall,5
167,11-14-2025,A-15,1,3,0,-18.0,A,22,17,1,35.0,Fall,6
168,11-14-2025,A-10,0,3,1,-9.0,A,22,17,1,33.0,Fall,7
169,11-14-2025,A-16,1,3,0,-6.0,A,21,17,2,50.0,Fall,8
170,11-14-2025,A-12,1,3,0,-7.0,A,21,19,0,3.0,Fall,9
171,11-14-2025,A-07,1,3,0,-10.0,A,19,20,1,25.0,Fall,10
172,11-14-2025,A-05,3,1,0,10.0,A,19,21,0,-7.0,Fall,11
173,11-14-2025,A-13,2,2,0,-4.0,A,18,20,2,-22.0,Fall,12
174,11-14-2025,A-09,3,1,0,17.0,A,16,23,1,-45.0,Fall,13
175,11-14-2025,A-17,2,1,1,-1.0,A,15,24,1,-105.0,Fall,14
176,11-14-2025,A-06,3,1,0,49.0,A,15,25,0,-9.0,Fall,15
177,11-14-2025,A-04,2,2,0,1.0,A,12,28,0,-124.0,Fall,16
178,11-14-2025,A-03,4,0,0,22.0,A,11,29,0,-119.0,Fall,17
179,11-14-2025,A-14,0,4,0,-30.0,A,4,36,0,-269.0,Fall,18
180,11-21-2025,A-18,3,1,0,20.0,A,34,10,0,220.0,Fall,1
181,11-21-2025,A-11,3,1,0,-4.0,A,32,11,1,110.0,Fall,2
182,11-21-2025,A-01,4,0,0,38.0,A,30,12,2,102.0,Fall,3
183,11-21-2025,A-08,3,1,0,0.0,A,29,12,3,141.0,Fall,4
184,11-21-2025,A-02,2,2,0,19.0,A,27,16,1,54.0,Fall,5
185,11-21-2025,A-16,2,2,0,0.0,A,23,19,2,50.0,Fall,6
186,11-21-2025,A-15,1,3,0,-39.0,A,23,20,1,-4.0,Fall,7
187,11-21-2025,A-10,0,0,4,0.0,A,22,17,5,33.0,Fall,8
188,11-21-2025,A-12,0,0,4,0.0,A,21,19,4,3.0,Fall,9
189,11-21-2025,A-05,0,0,4,0.0,A,19,21,4,-7.0,Fall,10
190,11-21-2025,A-07,0,2,2,-50.0,A,19,22,3,-25.0,Fall,11
191,11-21-2025,A-13,0,4,0,0.0,A,18,24,2,-22.0,Fall,12
192,11-21-2025,A-17,3,1,0,0.0,A,18,25,1,-105.0,Fall,13
193,11-21-2025,A-09,1,3,0,4.0,A,17,26,1,-41.0,Fall,14
194,11-21-2025,A-04,4,0,0,100.0,A,16,28,0,-24.0,Fall,15
195,11-21-2025,A-06,1,3,0,-26.0,A,16,28,0,-35.0,Fall,16
196,11-21-2025,A-03,0,2,2,-50.0,A,11,31,2,-169.0,Fall,17
197,11-21-2025,A-14,1,3,0,-12.0,A,5,39,0,-281.0,Fall,18
198,08-22-2025,C-08 The Quack Pack,4,0,0,43.0,C,4,0,0,43.0,Fall,1
199,08-22-2025,C-12 Blocktopusses,4,0,0,31.0,C,4,0,0,31.0,Fall,2
200,08-22-2025,C-01 Hitty Kitties,4,0,0,12.0,C,4,0,0,12.0,Fall,3
201,08-22-2025,C-17 Fowl Play,3,1,0,24.0,C,3,1,0,24.0,Fall,4
202,08-22-2025,C-03 Balls to the Narwhals,3,1,0,9.0,C,3,1,0,9.0,Fall,5
203,08-22-2025,C-14 Hot Cheetahs,3,1,0,9.0,C,3,1,0,9.0,Fall,6
204,08-22-2025,C-07 Otter Chaos,2,1,1,11.0,C,2,1,1,11.0,Fall,7
205,08-22-2025,C-05 Bumpin Bunnies,2,2,0,10.0,C,2,2,0,10.0,Fall,8
206,08-22-2025,C-18 Digletts,2,2,0,1.0,C,2,2,0,1.0,Fall,9
207,08-22-2025,C-11 Las Vulturistas,2,2,0,-1.0,C,2,2,0,-1.0,Fall,10
208,08-22-2025,C-13 Doggy Style,2,2,0,-2.0,C,2,2,0,-2.0,Fall,11
209,08-22-2025,C-16 No Fox Given,1,2,1,-20.0,C,1,2,1,-20.0,Fall,12
210,08-22-2025,C-02 Glory H Gorillas,1,3,0,-19.0,C,1,3,0,-19.0,Fall,13
211,08-22-2025,"C-15 Dig, Dig, Goose",1,3,0,-23.0,C,1,3,0,-23.0,Fall,14
212,08-22-2025,C-09 Strikalotls,0,3,1,-20.0,C,0,3,1,-20.0,Fall,15
213,08-22-2025,C-04 Panda-Monium,0,3,1,-23.0,C,0,3,1,-23.0,Fall,16
214,08-22-2025,C-10 Duck Around and Find Out,0,4,0,-10.0,C,0,4,0,-10.0,Fall,17
215,08-22-2025,C-06 The GOATs,0,4,0,-32.0,C,0,4,0,-32.0,Fall,18
216,09-05-2025,C-08 The Quack Pack,3,1,0,17.0,C,7,1,0,60.0,Fall,1
217,09-05-2025,C-12 Blocktopusses,3,1,0,25.0,C,7,1,0,56.0,Fall,2
218,09-05-2025,C-07 Otter Chaos,4,0,0,20.0,C,6,1,1,31.0,Fall,3
219,09-05-2025,C-17 Fowl Play,3,1,0,12.0,C,6,2,0,36.0,Fall,4
220,09-05-2025,C-18 Digletts,4,0,0,27.0,C,6,2,0,28.0,Fall,5
221,09-05-2025,C-03 Balls to the Narwhals,3,1,0,14.0,C,6,2,0,23.0,Fall,6
222,09-05-2025,C-05 Bumpin Bunnies,2,2,0,-6.0,C,4,4,0,4.0,Fall,7
223,09-05-2025,C-14 Hot Cheetahs,1,3,0,-14.0,C,4,4,0,-5.0,Fall,8
224,09-05-2025,C-11 Las Vulturistas,2,2,0,-4.0,C,4,4,0,-5.0,Fall,9
225,09-05-2025,C-02 Glory H Gorillas,3,1,0,12.0,C,4,4,0,-7.0,Fall,10
226,09-05-2025,C-01 Hitty Kitties,0,4,0,-39.0,C,4,4,0,-27.0,Fall,11
227,09-05-2025,C-13 Doggy Style,1,3,0,-13.0,C,3,5,0,-15.0,Fall,12
228,09-05-2025,"C-15 Dig, Dig, Goose",2,2,0,-3.0,C,3,5,0,-26.0,Fall,13
229,09-05-2025,C-09 Strikalotls,2,2,0,-6.0,C,2,5,1,-26.0,Fall,14
230,09-05-2025,C-16 No Fox Given,1,3,0,-8.0,C,2,5,1,-28.0,Fall,15
231,09-05-2025,C-04 Panda-Monium,1,3,0,-6.0,C,1,6,1,-29.0,Fall,16
232,09-05-2025,C-06 The GOATs,1,3,0,-7.0,C,1,7,0,-39.0,Fall,17
233,09-05-2025,C-10 Duck Around and Find Out,0,4,0,-21.0,C,0,8,0,-31.0,Fall,18
234,09-12-2025,C-12 Blocktopusses,3,1,0,17.0,C,10,2,0,73.0,Fall,1
235,09-12-2025,C-08 The Quack Pack,3,1,0,9.0,C,10,2,0,69.0,Fall,2
236,09-12-2025,C-07 Otter Chaos,3,1,0,14.0,C,9,2,1,45.0,Fall,3
237,09-12-2025,C-17 Fowl Play,2,2,0,-7.0,C,8,4,0,29.0,Fall,4
238,09-12-2025,C-02 Glory H Gorillas,4,0,0,28.0,C,8,4,0,21.0,Fall,5
239,09-12-2025,C-03 Balls to the Narwhals,2,2,0,-7.0,C,8,4,0,16.0,Fall,6
240,09-12-2025,C-18 Digletts,1,3,0,-19.0,C,7,5,0,9.0,Fall,7
241,09-12-2025,C-01 Hitty Kitties,3,1,0,17.0,C,7,5,0,-10.0,Fall,8
242,09-12-2025,C-11 Las Vulturistas,2,2,0,3.0,C,6,6,0,-2.0,Fall,9
243,09-12-2025,C-13 Doggy Style,2,2,0,9.0,C,5,7,0,-6.0,Fall,10
244,09-12-2025,C-14 Hot Cheetahs,1,3,0,-7.0,C,5,7,0,-12.0,Fall,11
245,09-12-2025,C-05 Bumpin Bunnies,1,3,0,-18.0,C,5,7,0,-14.0,Fall,12
246,09-12-2025,C-16 No Fox Given,2,2,0,2.0,C,4,7,1,-26.0,Fall,13
247,09-12-2025,C-04 Panda-Monium,2,2,0,18.0,C,3,8,1,-11.0,Fall,14
248,09-12-2025,C-09 Strikalotls,1,3,0,-20.0,C,3,8,1,-46.0,Fall,15
249,09-12-2025,C-06 The GOATs,2,2,0,-11.0,C,3,9,0,-50.0,Fall,16
250,09-12-2025,"C-15 Dig, Dig, Goose",0,4,0,-29.0,C,3,9,0,-55.0,Fall,17
251,09-12-2025,C-10 Duck Around and Find Out,2,2,0,1.0,C,2,10,0,-30.0,Fall,18
252,09-19-2025,C-12 Blocktopusses,4,0,0,34.0,C,14,2,0,107.0,Fall,1
253,09-19-2025,C-08 The Quack Pack,4,0,0,11.0,C,14,2,0,80.0,Fall,2
254,09-19-2025,C-02 Glory H Gorillas,2,2,0,-7.0,C,10,6,0,14.0,Fall,3
